Word,Meaning,Frequency,diff_level
sportive,given to merry frolicking,5041.22,2.0
verdant,characterized by abundance of vegetation and green foliage,2144.12,2.0
obliquity,the quality of being deliberately vague or deceptive,9351.72,4.0
calumny,a false accusation of an offense,1200.93,1.0
pugilism,boxing with bare hands,4971.27,2.0
martinet,someone who demands exact conformity to rules and forms,10726.33,4.0
odious,extremely repulsive or unpleasant,840.68,1.0
forthright,directly and without evasion; not roundabout,4784.21,3.0
decree,a legally binding command or decision,237.13,1.0
potentate,"a powerful ruler, especially one who is unconstrained by law",2251.01,1.0
decry,express strong disapproval of,3637.71,3.0
torment,intense feelings of suffering; acute mental or physical pain,280.21,1.0
penury,a state of extreme poverty or destitution,3397.35,2.0
pungent,strong and sharp to the sense of taste or smell,1948.81,1.0
reticent,reluctant to draw attention to yourself,1374.54,2.0
opprobrious,expressing offensive reproach,9388.86,4.0
minuscule,very small,11808.5,4.0
bombastic,ostentatiously lofty in style,9023.37,3.0
cogent,powerfully persuasive,4099.24,3.0
reverberate,ring or echo with sound,1907.03,2.0
apostate,not faithful to religion or party or cause,3579.36,2.0
complacent,contented to a fault with oneself or one's actions,656.28,1.0
rampant,occurring or increasing in an unrestrained way,2211.46,2.0
hypocritical,professing feelings or virtues one does not have,2358.73,3.0
prolong,lengthen in time; cause to be or last longer,315.1,1.0
equivocation,intentional vagueness or ambiguity,9941.55,4.0
placate,cause to be more favorably inclined,1133.44,2.0
pristine,immaculately clean and unused,4267.9,3.0
peccadillo,a petty misdeed,13221.71,4.0
aggrandize,"embellish; increase the scope, power, or importance of",4161.26,3.0
oblique,slanting or inclined in direction or course or position,1110.69,2.0
assuage,"provide physical relief, as from pain",2941.13,2.0
meretricious,tastelessly showy,13401.58,3.0
propitiate,make peace with,2029.37,2.0
impediment,something immaterial that interferes with action or progress,1539.17,2.0
penchant,a strong liking or preference,5485.6,4.0
moat,ditch dug as a fortification and usually filled with water,1660.55,2.0
savant,a learned person,3731.84,3.0
descry,catch sight of,1898.77,2.0
vindicate,show to be right by providing justification or proof,719.37,1.0
eradicate,"destroy completely, as if down to the roots",1489.95,2.0
ranger,an official responsible for managing an area of forest,3559.96,3.0
boor,a crude uncouth ill-bred person lacking refinement,2850.4,3.0
panache,distinctive and stylish elegance,20414.32,4.0
imperious,having or showing arrogant superiority,857.78,1.0
impasse,a situation in which no progress can be made,5602.57,2.0
tome,a large and scholarly book,1875.89,1.0
deprive,take away,212.91,1.0
impregnable,incapable of being attacked or tampered with,1960.11,2.0
maudlin,very sentimental or emotional,5000.71,2.0
attentive,taking heed,390.86,1.0
listless,lacking zest or vivacity,1026.98,1.0
provocative,serving or tending to excite or stimulate,2316.24,3.0
foreclosure,proceedings initiated to repossess the collateral for a loan,1756.43,2.0
endeavor,attempt by employing effort,232.12,1.0
defiant,boldly resisting authority or an opposing force,275.33,1.0
egregious,conspicuously and outrageously bad or reprehensible,4086.49,3.0
prudence,discretion in practical affairs,358.84,1.0
exculpate,pronounce not guilty of criminal charges,7912.19,3.0
overwrought,deeply agitated especially from emotion,4981.75,2.0
abstemious,marked by temperance in indulgence,7558.1,4.0
innocuous,not injurious to physical or mental health,5337.03,2.0
egalitarian,favoring social equality,18212.57,4.0
improvidence,"a lack of prudence, care, or foresight",13371.26,4.0
presume,take to be the case or to be true,151.7,1.0
extensive,large in spatial extent or range or scope or quantity,208.38,1.0
occult,supernatural forces and events and beings collectively,1553.92,2.0
profundity,the quality of being physically deep,6844.84,4.0
vestige,an indication that something has been present,1369.29,1.0
atone,turn away from sin or do penitence,671.33,1.0
imperturbable,marked by extreme calm and composure,2194.23,1.0
extravagant,recklessly wasteful,307.84,1.0
stolid,having or revealing little emotion or sensibility,1317.33,1.0
rash,imprudently incurring risk,435.74,1.0
allegiance,the act of binding yourself to a course of action,667.14,1.0
balk,refuse to proceed or comply,1622.08,2.0
jeopardy,a source of danger,1434.34,2.0
avarice,reprehensible acquisitiveness; insatiable desire for wealth,965.84,2.0
adumbrate,describe roughly or give the main points or summary of,20994.45,4.0
opiate,a narcotic drug,5422.7,3.0
usury,the act of lending money at an exorbitant rate of interest,3033.15,2.0
stentorian,very loud or booming,6644.79,2.0
gambol,play or run boisterously,3321.96,2.0
arbitrate,act between parties with a view to reconciling differences,1000.35,2.0
mundane,found in the ordinary course of events,3411.07,3.0
bleak,unpleasantly cold and damp,818.15,1.0
lampoon,ridicule with satire,5230.78,2.0
gaffe,a socially awkward or tactless act,9307.54,4.0
pernicious,exceedingly harmful,1385.81,2.0
strive,attempt by employing effort,173.32,1.0
florid,elaborately or excessively ornamented,2384.89,1.0
nondescript,lacking distinct or individual characteristics,4650.61,3.0
hallucinate,have illusions; perceive what is not actually there,1916.3,2.0
reckless,marked by defiant disregard for danger or consequences,323.8,1.0
fanatical,marked by excessive enthusiasm for a cause or idea,2134.45,2.0
flustered,thrown into a state of agitated confusion,6006.75,4.0
propriety,correct behavior,440.15,1.0
petulant,easily irritated or annoyed,1613.24,2.0
dichotomy,a classification into two opposed parts or subclasses,22259.59,4.0
umbrage,a feeling of anger caused by being offended,4715.52,2.0
prone,having a tendency,844.39,1.0
occlude,block passage through,27297.33,4.0
gullible,naive and easily deceived or tricked,10181.28,4.0
bask,"expose oneself to warmth and light, as for relaxation",1915.06,2.0
ludicrous,inviting ridicule,910.39,2.0
mollify,cause to be more favorably inclined,3405.18,2.0
ostensible,appearing as such but not necessarily so,1349.62,2.0
quash,declare invalid,6641.06,4.0
succumb,"give in, as to overwhelming force, influence, or pressure",1048.35,2.0
garner,assemble or get together,1731.75,2.0
pervade,spread or diffuse through,643.46,1.0
bombast,pompous or pretentious talk or writing,4229.73,3.0
hapless,unfortunate and deserving pity,1580.91,1.0
wan,"pale, as of a person's complexion",1061.12,2.0
composure,steadiness of mind under stress,814.83,1.0
slur,utter indistinctly,3245.39,3.0
impair,make worse or less effective,757.48,1.0
impugn,attack as false or wrong,6856.75,3.0
obviate,do away with,2798.47,3.0
imbue,spread or diffuse through,1899.99,2.0
sober,"not affected by a chemical substance, especially alcohol",251.02,1.0
extant,still in existence; not extinct or destroyed or lost,1398.25,2.0
fervor,feelings of great warmth and intensity,1446.43,2.0
vacillate,be undecided about something,2770.29,3.0
credulity,tendency to believe readily,1875.0,2.0
dangle,hang freely,938.52,2.0
panegyric,formally expressing praise,3168.87,2.0
acme,the highest point of something,6424.54,2.0
epitome,a standard or typical example,2318.51,3.0
optician,a worker who makes glasses for remedying defects of vision,15614.36,4.0
disabuse,free somebody from an erroneous belief,10658.63,4.0
linen,a fabric woven with fibers from the flax plant,337.85,1.0
proclamation,a formal public statement,458.51,1.0
flirt,"talk or behave amorously, without serious intentions",745.05,1.0
curmudgeon,"an irascible, cantankerous person full of stubborn ideas",13251.35,3.0
sentient,endowed with feeling and unstructured consciousness,5160.02,2.0
chauvinist,a person with a prejudiced belief in his own superiority,33674.25,4.0
meager,deficient in amount or quality or extent,2624.6,3.0
uproar,a state of commotion and noise and confusion,719.63,1.0
intransigent,"impervious to pleas, persuasion, requests, or reason",10924.58,3.0
fret,be agitated or irritated,470.9,1.0
arable,capable of being farmed productively,1210.63,2.0
nefarious,extremely wicked,4815.38,3.0
deluge,a heavy rain,1018.94,2.0
veracious,habitually speaking the truth,9479.2,4.0
exonerate,pronounce not guilty of criminal charges,4359.15,2.0
odoriferous,"emitting a smell, especially an unpleasant smell",10368.82,4.0
oscillate,move or swing from side to side regularly,2326.26,3.0
erratic,liable to sudden unpredictable change,1817.12,1.0
abscond,"run away, often taking something or somebody along",6435.03,4.0
simper,"smile in an insincere, unnatural, or coy way",5126.46,3.0
indulge,yield to; give satisfaction to,165.7,1.0
topple,"fall down, as if collapsing",1379.35,2.0
supplant,take the place or move into the position of,1568.96,1.0
absurd,inconsistent with reason or logic or common sense,167.48,1.0
plummet,drop sharply,3040.95,3.0
bog,wet spongy ground of decomposing vegetation,1032.62,2.0
raconteur,a person skilled in telling anecdotes,18353.97,3.0
alacrity,liveliness and eagerness,1532.0,1.0
redeem,exchange or buy back for money; under threat,295.81,1.0
tirade,a speech of violent denunciation,4082.25,2.0
obdurate,stubbornly persistent in wrongdoing,2891.51,2.0
cosset,treat with excessive indulgence,27876.73,4.0
facetious,cleverly amusing in tone,2445.03,3.0
expiate,make amends for,1633.95,2.0
prune,"cultivate, tend, and cut back the growth of",1344.87,2.0
dearth,an insufficient quantity or number,3059.04,3.0
incorrigible,impervious to correction by punishment,3417.97,3.0
flippant,showing an inappropriate lack of seriousness,2477.8,3.0
discourse,an extended communication dealing with some particular topic,230.46,1.0
loom,a textile machine for weaving yarn into a textile,428.96,1.0
clumsy,lacking grace in movement or posture,556.21,1.0
malapropism,misuse of a word by confusion with one that sounds similar,134311.35,4.0
fickle,liable to sudden unpredictable change,1596.05,2.0
despicable,morally reprehensible,2319.42,3.0
jovial,full of or showing high-spirited merriment,1391.67,2.0
accretion,an increase by natural growth or addition,11140.78,3.0
trenchant,having keenness and forcefulness and penetration in thought,5400.41,3.0
orotund,overly formal and pompous in style,72959.71,4.0
illicit,contrary to accepted morality or convention,1499.96,2.0
lackluster,not having brilliance or vitality,8775.54,4.0
encroach,advance beyond the usual limit,1111.0,2.0
falter,"move hesitatingly, as if about to give way",411.56,1.0
lucid,transparently clear; easily understandable,867.39,1.0
voluble,marked by a ready flow of speech,1862.9,1.0
jargon,technical terminology characteristic of a particular subject,2033.91,1.0
objurgation,rebuking a person harshly,17990.82,4.0
spartan,unsparing and uncompromising in discipline or judgment,44941.35,4.0
ribald,humorously vulgar,6189.12,2.0
arduous,characterized by effort to the point of exhaustion,1245.79,2.0
decorum,propriety in manners and conduct,944.36,2.0
invective,abusive language used to express blame or censure,2300.48,3.0
restive,in a very tense state,2933.83,2.0
polymath,a person of great and varied learning,107449.28,4.0
repudiate,"refuse to acknowledge, ratify, or recognize as valid",995.22,1.0
talon,a sharp hooked claw especially on a bird of prey,3055.09,2.0
treacherous,dangerously unstable and unpredictable,603.78,1.0
adept,having or showing knowledge and skill and aptitude,1927.85,2.0
hoax,something intended to deceive,3746.03,3.0
mercurial,liable to sudden unpredictable change,6241.4,4.0
legerdemain,an illusory feat,14071.61,3.0
investiture,the ceremonial promotion of a person to an office or rank,7685.86,3.0
appraise,consider in a comprehensive way,1765.87,2.0
amalgamate,bring or combine together or with something else,2430.46,3.0
anodyne,capable of relieving pain,10535.15,3.0
placid,calm and free from disturbance,623.66,1.0
imperative,requiring attention or action,750.24,1.0
whimsical,determined by chance or impulse rather than by necessity,1140.21,2.0
pariah,a person who is rejected from society or home,5688.83,2.0
mettle,the courage to carry on,2804.44,3.0
literal,limited to the explicit meaning of a word or text,245.49,1.0
frenetic,fast and energetic in an uncontrolled or wild way,10341.6,3.0
pestilence,any epidemic disease with a high death rate,1143.07,2.0
dispassionate,unaffected by strong emotion or prejudice,3120.37,3.0
stoop,bend one's back forward from the waist on down,250.36,1.0
antiseptic,thoroughly clean and free of disease-causing organisms,4813.42,3.0
irascible,quickly aroused to anger,4097.81,3.0
invoke,request earnestly; ask for aid or protection,589.23,1.0
shatter,break into many pieces,416.91,1.0
refurbish,improve the appearance or functionality of,7319.46,4.0
bellicose,having or showing a ready disposition to fight,9610.2,4.0
drab,a dull greyish to yellowish or light olive brown,2072.02,2.0
objurgate,censure severely,15676.48,4.0
tentative,hesitant or lacking confidence; unsettled in mind or opinion,1267.67,2.0
iniquitous,characterized by injustice or wickedness,5128.68,3.0
fallow,left unplowed and unseeded during a growing season,3081.35,2.0
inimical,tending to obstruct or cause harm,4274.07,3.0
pristine,immaculately clean and unused,4267.9,2.0
conscript,enroll into service compulsorily,1547.22,2.0
ingrate,a person who shows no thankfulness or appreciation,10706.9,3.0
putrefy,decay with an offensive smell,4412.84,3.0
brittle,having little elasticity,2303.61,3.0
varnish,"a coating that provides a hard, lustrous finish to a surface",1301.83,2.0
lugubrious,excessively mournful,4370.43,3.0
espy,catch sight of,1551.28,2.0
ardor,feelings of great warmth and intensity,1273.4,1.0
mettlesome,"having a proud, courageous, and unbroken spirit",23085.59,4.0
blithe,carefree and happy and lighthearted,1450.16,1.0
dabble,bob under so as to feed off the bottom of a body of water,2857.29,3.0
equivocate,be deliberately ambiguous or unclear,6438.53,4.0
,,,
tangential,of superficial relevance if any,12946.58,3.0
assuage,"provide physical relief, as from pain",2941.13,3.0
frenzy,state of violent mental agitation,840.02,1.0
quiescence,a state of quiet but possibly temporary)inaction,11057.42,4.0
obsolete,no longer in use,1314.26,2.0
mollycoddle,treat with excessive indulgence,39008.63,4.0
affliction,a cause of great suffering and distress,605.82,1.0
elucidate,make clear and comprehensible,2255.3,3.0
obeisance,bending the head or body in reverence or submission,3279.59,3.0
adulate,flatter in an obsequious manner,3484.44,3.0
incursion,the act of entering some territory or domain,2607.24,3.0
fracas,a noisy quarrel,7736.15,4.0
posture,the arrangement of the body and its limbs,719.59,1.0
bonhomie,a disposition to be friendly and approachable,15908.55,3.0
improvise,manage in a makeshift way; do with whatever is at hand,1124.19,2.0
limp,walk impeded by some physical injury,518.55,1.0
pervade,spread or diffuse through,643.46,1.0
diffident,showing modest reserve,1563.78,2.0
smother,deprive of oxygen and prevent from breathing,680.62,1.0
asperity,harshness of manner,4217.66,3.0
embellish,"make more attractive, as by adding ornament or color",1259.18,1.0
ostentation,pretentious or showy or vulgar display,1028.32,1.0
pitch,the high or low quality of a sound,109.75,1.0
valiant,having or showing heroism or courage,543.99,1.0
corroborate,give evidence for,1334.41,2.0
strut,"walk in a proud, confident way",1551.48,2.0
lavish,very generous,520.74,1.0
vindictive,disposed to seek revenge or intended for revenge,1342.12,2.0
plumb,exactly vertical,1369.61,2.0
incidence,the relative frequency of occurrence of something,4478.01,3.0
perennial,lasting an indefinitely long time,1411.25,2.0
epithet,descriptive word or phrase,1013.71,2.0
affluent,having an abundant supply of money or possessions of value,1375.66,2.0
blunder,an embarrassing mistake,492.06,1.0
noisome,causing or able to cause nausea,5823.32,4.0
commentator,an expert who observes and remarks on something,1095.58,2.0
distraught,deeply agitated especially from emotion,3725.96,3.0
pungent,strong and sharp to the sense of taste or smell,1948.81,2.0
taciturn,habitually reserved and uncommunicative,2407.21,3.0
pertinent,being of striking appropriateness,565.95,1.0
extempore,with little or no preparation or forethought,7538.83,4.0
anachronism,locating something at a time when it couldn't have existed,3922.47,2.0
aspersion,a disparaging remark,7342.19,4.0
cadge,obtain or seek to obtain by wheedling,12792.46,4.0
reinstate,"bring back into original existence, function, or position",1828.07,2.0
monastic,relating to life in an isolated religious community,1469.05,1.0
insurrection,organized opposition to authority,646.09,1.0
prosaic,lacking wit or imagination,1895.73,2.0
brisk,quick and energetic,365.27,1.0
gaudy,tastelessly showy,1343.95,2.0
peremptory,putting an end to all debate or action,1166.38,2.0
seraphic,having a sweet nature befitting an angel,10198.85,3.0
profligate,unrestrained by convention or morality,1599.72,2.0
insensible,barely able to be perceived,557.44,1.0
pucker,gather something into small wrinkles or folds,2548.27,3.0
stickler,someone who insists on something,9916.53,4.0
impecunious,not having enough money to pay for necessities,10120.27,4.0
overture,orchestral music at the beginning of an opera or musical,1150.29,2.0
pugnacious,ready and able to resort to force or violence,5493.24,4.0
corroborate,give evidence for,1334.41,1.0
squander,spend thoughtlessly; throw away,1592.83,2.0
hyperbole,extravagant exaggeration,5166.78,3.0
vagary,an unexpected and inexplicable change in something,2887.28,3.0
hapless,unfortunate and deserving pity,1580.91,2.0
plaintiff,a person who brings an action in a court of law,1441.68,2.0
cognizance,the state or act of having knowledge of,3064.58,3.0
specious,plausible but false,2838.09,2.0
amenable,disposed or willing to comply,3480.34,3.0
insignia,a badge worn to show official position,3079.75,3.0
officious,intrusive in a meddling or offensive manner,3001.59,3.0
capricious,determined by chance or impulse rather than by necessity,1316.6,1.0
impudent,improperly forward or bold,630.69,1.0
prerogative,a right reserved exclusively by a person or group,1055.64,2.0
coffer,"the funds of a government, institution, or individual",2149.57,1.0
abdicate,"give up power, duties, or obligations",1648.06,1.0
parasite,an animal or plant that lives in or on a host,1084.64,2.0
oratorio,a musical composition for voices and orchestra,4370.43,3.0
nonchalant,marked by casual unconcern or indifference,2269.58,3.0
voluptuous,displaying luxury and furnishing gratification to the senses,1836.3,2.0
vituperative,marked by harshly abusive criticism,21335.5,4.0
confound,be confusing or perplexing to,345.39,1.0
evanescent,short-lived; tending to vanish or disappear,4171.54,3.0
opportunist,a person who places expediency above principle,10844.4,4.0
dormant,inactive but capable of becoming active,1952.35,2.0
untenable,incapable of being defended or justified,3564.25,3.0
probity,complete and confirmed integrity,4406.26,3.0
contrite,feeling or expressing pain or sorrow,3636.59,3.0
fawn,a young deer,1071.59,2.0
dwindle,become smaller or lose substance,1038.69,2.0
polemic,"a verbal or written attack, especially of a belief or dogma",3391.51,3.0
apocryphal,being of questionable authenticity,9396.32,3.0
blight,any plant disease resulting in withering without rotting,825.79,1.0
jeer,laugh at with contempt and derision,966.0,2.0
discomfit,cause to lose one's composure,1223.52,2.0
variegated,having an assortment of colors,2782.67,2.0
vanity,feelings of excessive pride,254.18,1.0
disprove,show to be false,2486.14,3.0
rococo,having excessive asymmetrical ornamentation,9092.78,3.0
leash,restraint consisting of a rope used to restrain an animal,1606.67,2.0
jamb,a vertical side piece of a door or window frame,8041.35,4.0
lugubrious,excessively mournful,4370.43,2.0
redoubtable,inspiring fear,3922.47,3.0
reciprocal,concerning each of two or more persons or things,1250.4,2.0
fidget,move restlessly,1685.38,2.0
fractious,easily irritated or annoyed,6848.8,3.0
taut,pulled or drawn tight,2434.46,3.0
loafer,a person who is idle and does no work,6502.27,4.0
saturnine,bitter or scornful,7828.36,4.0
vertigo,a reeling sensation; a feeling that you are about to fall,5964.33,4.0
mollify,cause to be more favorably inclined,3405.18,3.0
vituperate,spread negative information about,5506.04,4.0
perspicacious,mentally acute or penetratingly discerning,47468.11,4.0
obtrude,push to thrust outward,1230.26,2.0
delineate,represented accurately or precisely,1657.53,2.0
efface,remove by or as if by rubbing or erasing,1189.95,2.0
veracity,unwillingness to tell lies,1890.88,1.0
formidable,extremely impressive in strength or excellence,331.69,1.0
prodigy,an unusually gifted or intelligent person,474.57,1.0
debilitate,make weak,4541.65,3.0
obsequious,attempting to win favor from influential people by flattery,2498.74,1.0
endorse,approve of,611.5,1.0
quixotic,not sensible about practical matters,4885.01,2.0
skeptical,marked by or given to doubt,938.74,2.0
precursor,something indicating the approach of something or someone,3257.01,3.0
attenuate,"become weaker, in strength, value, or magnitude",3390.54,3.0
replete,filled to satisfaction with food or drink,2763.17,2.0
foppish,overly concerned with extreme elegance in dress and manner,15212.47,4.0
profuse,produced or growing in extreme abundance,1245.92,2.0
stigma,a symbol of disgrace or infamy,1360.48,2.0
precipitate,bring about abruptly,506.9,1.0
drone,make a monotonous low dull sound,1075.48,2.0
desultory,"marked by lack of definite plan, purpose, or enthusiasm",2359.67,1.0
laconic,brief and to the point,2553.77,3.0
lavish,very generous,520.74,1.0
lassitude,a feeling of lack of interest or energy,4854.93,2.0
foment,try to stir up,2929.47,3.0
arrogate,seize and take control without authority,7086.92,3.0
slack,not tense or taut,510.98,1.0
indelible,"not able to be forgotten, removed, or erased",2442.0,3.0
craven,lacking even the rudiments of courage; abjectly fearful,1366.6,1.0
frivolous,"not serious in content, attitude, or behavior",783.58,1.0
confrontation,discord resulting from a clash of ideas or opinions,1787.47,2.0
disinterested,unaffected by concern for one's own welfare,1012.75,2.0
fallacy,a misconception resulting from incorrect reasoning,1211.25,2.0
flounder,"move clumsily or struggle to move, as in mud or water",1508.57,2.0
mercenary,a person hired to fight for another country than their own,1213.86,2.0
fervid,characterized by intense emotion,3325.7,3.0
erratic,liable to sudden unpredictable change,1817.12,2.0
obloquy,state of disgrace resulting from public abuse,7011.27,4.0
bolster,support and strengthen,1343.19,1.0
antagonize,provoke the hostility of,6727.98,2.0
torpor,a state of motor and mental inactivity,3656.83,3.0
spurious,plausible but false,2446.54,3.0
recondite,difficult to understand,8008.66,4.0
pusillanimous,"lacking in courage, strength, and resolution",6028.19,4.0
discrete,constituting a separate entity or part,13602.05,4.0
wraith,"a ghostly figure, especially one seen shortly before death",5783.44,2.0
complaisant,showing a cheerful willingness to do favors for others,2819.82,3.0
effrontery,audacious behavior that you have no right to,3735.38,3.0
obsequious,attempting to win favor from influential people by flattery,2498.74,3.0
perfidy,an act of deliberate betrayal,1587.48,2.0
dilate,become wider,1136.71,1.0
omnivorous,feeding on both plants and animals,13988.35,4.0
incongruous,lacking in harmony or compatibility or appropriateness,1209.27,2.0
opus,a musical work that has been created,2829.26,3.0
lionize,assign great social importance to,19798.84,4.0
gestation,the period during which an embryo develops,9586.82,3.0
encumber,"hold back, impede, or weigh down",1607.32,2.0
flatter,praise somewhat dishonestly,189.19,1.0
subsequent,following in time or order,166.66,1.0
evoke,"call forth, as an emotion, feeling, or response",843.85,1.0
barefaced,with no effort to conceal,11016.2,4.0
rotundity,the roundness of a 3-dimensional object,15573.21,4.0
cavern,a large cave or a large chamber in a cave,494.31,1.0
dedication,complete and wholehearted fidelity,1148.17,2.0
foment,try to stir up,2929.47,2.0
crease,an angular indentation made by folding,2355.44,3.0
abase,cause to feel shame,2768.34,2.0
lissome,moving and bending with ease,23267.36,4.0
acidulous,being sour to the taste,40617.19,4.0
inauspicious,boding ill,10198.85,4.0
opportune,suitable or advantageous especially for a particular purpose,53.22,1.0
remorse,"a feeling of deep regret, usually for some misdeed",427.86,1.0
inchoate,only partly in existence; imperfectly formed,13889.73,3.0
cupidity,extreme greed for material wealth,3756.74,2.0
dumbfound,be a mystery or bewildering to,7116.78,4.0
wan,"pale, as of a person's complexion",1061.12,1.0
obviate,do away with,2798.47,2.0
guile,shrewdness as demonstrated by being skilled in deception,1399.9,2.0
exorbitant,greatly exceeding bounds of reason or moderation,2706.89,3.0
foolhardy,marked by defiant disregard for danger or consequences,4634.21,3.0
inquisitive,given to questioning,1153.77,2.0
distend,cause to expand as if by internal pressure,2543.33,1.0
invert,turn inside out or upside down,1191.38,2.0
lope,run easily,3080.55,3.0
nettle,plant having stinging hairs that cause skin irritation,1725.94,1.0
strain,exert much effort or energy,91.76,1.0
