Word,Meaning,Frequency,diff_level
forestall,keep from happening or arising; make impossible,2194.23,2.0
vilify,spread negative information about,5277.48,3.0
vigor,forceful exertion,148.43,1.0
pedant,a person who is preoccupied with rules and learning,1363.14,2.0
odorous,having a characteristic aroma,4562.68,3.0
imprecation,the act of calling down a curse that invokes evil,2869.07,2.0
sinecure,a job that involves minimal duties,6495.13,2.0
oligarchy,a political system governed by a few people,3045.64,3.0
perfidious,tending to betray,3367.37,2.0
stifled,held in check with difficulty,1276.56,2.0
goad,stab or urge on as if with a pointed stick,1610.82,2.0
levity,a manner lacking seriousness,1864.07,1.0
feign,make believe with the intent to deceive,739.2,1.0
odium,hate coupled with disgust,688.53,1.0
phlegmatic,showing little emotion,4823.24,2.0
prattle,speak about unimportant matters rapidly and incessantly,2371.5,1.0
brood,"hang over, as of something threatening, dark, or menacing",359.24,1.0
impetuous,characterized by undue haste and lack of thought,633.22,1.0
conspicuous,obvious to the eye or mind,288.02,1.0
surfeit,indulge (one's appetite) to satiety,4243.39,2.0
veritable,not counterfeit or copied,1037.87,2.0
adulation,exaggerated flattery or praise,4008.9,3.0
forge,create by hammering,334.37,1.0
engender,call forth,1631.25,2.0
precipitate,bring about abruptly,506.9,1.0
adverse,in an opposing direction,552.27,1.0
apprehension,fearful expectation or anticipation,307.45,1.0
tawdry,tastelessly showy,4048.71,2.0
precis,a sketchy summary of the main points of an argument,76749.77,4.0
optimum,most desirable possible under a restriction,6281.19,4.0
conducive,tending to bring about; being partly responsible for,2792.52,3.0
obnoxious,causing disapproval or protest,1730.23,2.0
tirade,a speech of violent denunciation,4082.25,3.0
foster,providing nurture though not related by blood or legal ties,651.31,1.0
deft,skillful in physical movements; especially of the hands,1008.53,2.0
mendicant,a pauper who lives by begging,3028.49,2.0
gauche,lacking social poise or refinement,13206.93,4.0
consternation,sudden shock or dismay that causes confusion,824.53,1.0
nocturnal,belonging to or active during the night,1920.03,2.0
myopic,unable to see distant objects clearly,12848.08,3.0
gloat,dwell on with satisfaction,2484.05,3.0
plea,a humble request for help from someone in authority,441.89,1.0
heretical,departing from accepted beliefs or standards,3343.57,3.0
nascent,being born or beginning,5078.02,2.0
fulminate,cause to explode violently and with loud noise,6840.88,4.0
orthography,representing the sounds of a language by written symbols,4905.28,3.0
apprise,inform somebody of something,2120.3,2.0
overt,open and observable; not secret or hidden,3305.25,3.0
limerick,a humorous rhymed verse form of five lines,93805.05,4.0
idiosyncrasy,a behavioral attribute peculiar to an individual,3312.66,2.0
obfuscate,make obscure or unclear,21297.06,4.0
profligate,unrestrained by convention or morality,1599.72,1.0
assess,"estimate the nature, quality, ability or significance of",460.86,1.0
hackneyed,repeated too often; overfamiliar through overuse,6328.25,4.0
offal,viscera and trimmings of a butchered animal,8383.49,4.0
propriety,correct behavior,440.15,1.0
obsession,an unhealthy and compulsive preoccupation with something,1885.16,2.0
opprobrium,a state of extreme dishonor,4709.89,3.0
winsome,charming in a childlike or naive way,3181.65,2.0
frown,a facial expression of dislike or displeasure,250.86,1.0
perfunctory,hasty and without attention to detail; not thorough,2985.67,3.0
ingrained,deeply rooted; firmly fixed or held,6034.34,4.0
antediluvian,of or relating to the period before the biblical flood,8431.32,4.0
concession,the act of yielding,443.22,1.0
contentious,showing an inclination to disagree,3468.09,3.0
verdant,characterized by abundance of vegetation and green foliage,2144.12,1.0
insular,relating to or characteristic of or situated on an island,3609.95,3.0
stray,wander from a direct course or at random,404.69,1.0
idiosyncrasy,a behavioral attribute peculiar to an individual,3312.66,3.0
intrepid,invulnerable to fear or intimidation,1387.92,2.0
mitigate,lessen or to try to lessen the seriousness or extent of,975.63,2.0
orifice,"an opening, especially one that opens into a bodily cavity",3466.06,3.0
iconoclast,someone who attacks cherished ideas or institutions,7766.64,4.0
repose,freedom from activity,265.21,1.0
exculpate,pronounce not guilty of criminal charges,7912.19,4.0
sedition,an illegal action inciting resistance to lawful authority,1472.89,1.0
conspire,act in agreement and in secret towards a deceitful purpose,223.5,1.0
bolster,support and strengthen,1343.19,2.0
analgesia,absence of the sense of pain without loss of consciousness,139051.71,4.0
interregnum,the time between two reigns or governments,12024.71,4.0
ornithology,the branch of zoology that studies birds,5547.37,4.0
oblivion,the state of being disregarded or forgotten,666.43,1.0
benevolent,showing or motivated by sympathy and understanding,395.65,1.0
weary,physically and mentally fatigued,84.74,1.0
trepidation,a feeling of alarm or dread,3083.76,3.0
loll,be lazy or idle,2607.82,3.0
sway,move back and forth,241.97,1.0
cant,a slope in the turn of a road or track,952.64,2.0
collusion,secret agreement,5727.41,2.0
antipathy,a feeling of intense dislike,1698.93,2.0
grovel,show submission or fear,2912.88,2.0
baneful,evil or sinister,5976.38,4.0
heterodox,characterized by departure from accepted standards,8762.54,4.0
surly,unfriendly and inclined toward anger or irritation,1518.83,1.0
spendthrift,someone who spends money freely or wastefully,3892.77,3.0
enigma,something that baffles understanding and cannot be explained,1126.43,2.0
pillage,steal goods; take as spoils,1283.34,2.0
garner,assemble or get together,1731.75,1.0
gird,bind with something round or circular,1153.77,2.0
gorge,"a deep ravine, usually with a river running through it",548.11,1.0
defiance,a hostile challenge,458.9,1.0
encomium,a formal expression of praise,4788.08,2.0
adulterate,make impure by adding a foreign or inferior substance,2689.04,3.0
torpid,in a condition of biological rest or suspended animation,4014.35,3.0
wheedle,"influence or urge by gentle urging, caressing, or flattering",3530.21,3.0
disguise,any attire that conceals the wearer's identity,237.02,1.0
vicissitude,a variation in circumstances or fortune,1701.38,1.0
approbation,official acceptance or agreement,715.29,1.0
bogus,fraudulent; having a misleading appearance,4444.35,3.0
astringent,tending to draw together or constrict soft organic tissue,6754.89,4.0
preen,clean with one's bill,8461.49,4.0
omnipotent,having unlimited power,1353.17,2.0
ossify,become bony,11464.93,3.0
censure,harsh criticism or disapproval,525.25,1.0
zenith,the highest point of something,1862.31,2.0
turpitude,a corrupt or depraved or degenerate act or practice,12862.06,4.0
fawn,a young deer,1071.59,1.0
gist,the central meaning or theme of a speech or literary work,3440.85,3.0
malign,speak unfavorably about,1509.72,2.0
narcotic,a drug that produces numbness or stupor,2114.23,2.0
desiccate,lacking vitality or spirit; lifeless,10894.37,3.0
captor,a person who entraps and holds someone else,1206.81,2.0
startle,surprise greatly,138.49,1.0
quibble,evade the truth of a point by raising irrelevant objections,3779.55,3.0
stake,a strong wooden or metal post driven into the ground,177.94,1.0
ambivalent,uncertain or unable to decide about what course to follow,7954.78,4.0
bilk,"cheat somebody out of what is due, especially money",17828.01,4.0
salvage,rescuing a ship or its crew from a shipwreck or a fire,2070.93,2.0
zephyr,a slight wind,8052.3,4.0
intractable,difficult to manage or mold,4950.46,2.0
precipitous,extremely steep,1544.6,2.0
aesthete,one who professes great sensitivity to the beauty of art,38375.39,4.0
nadir,the lowest point of anything,7700.88,4.0
intransigent,"impervious to pleas, persuasion, requests, or reason",10924.58,4.0
flimsy,a thin strong lightweight translucent paper,2320.33,3.0
inept,generally incompetent and ineffectual,5164.53,3.0
bevy,a flock of birds,4907.31,2.0
neologism,a newly invented word or phrase,49248.13,4.0
obscure,not clearly understood or expressed,180.91,1.0
ominous,threatening or foreshadowing evil or tragic developments,624.02,1.0
overhaul,"make repairs, renovations, revisions or adjustments to",858.65,1.0
chary,characterized by great caution,7296.87,4.0
trenchant,having keenness and forcefulness and penetration in thought,5400.41,2.0
polemic,"a verbal or written attack, especially of a belief or dogma",3391.51,2.0
demagogue,a leader who seeks support by appealing to popular passions,2872.55,2.0
dilettante,an amateur engaging in an activity without serious intention,6015.92,4.0
estimable,deserving of respect or high regard,1312.07,1.0
aberrant,markedly different from an accepted norm,25639.42,4.0
presumptuous,"going beyond what is appropriate, permitted, or courteous",1923.46,2.0
caprice,a sudden desire,552.3,1.0
impervious,not admitting of passage or capable of being affected,3358.76,3.0
languid,lacking spirit or liveliness,767.99,1.0
inextricable,incapable of being disentangled or untied,3486.49,3.0
euphoria,a feeling of great elation,9983.53,4.0
obituary,a notice of someone's death,3202.33,3.0
recant,formally reject or disavow a formerly held belief,3779.55,3.0
impromptu,with little or no preparation or forethought,2582.76,3.0
vim,a healthy capacity for vigorous activity,10377.92,3.0
neglect,leave undone or leave out,133.75,1.0
mirth,great merriment,467.15,1.0
malingerer,someone shirking duty by feigning illness or incapacity,68717.92,4.0
ford,cross a river where it's shallow,1250.66,1.0
canard,a deliberately misleading fabrication,19999.83,4.0
admonish,scold or reprimand; take to task,652.7,1.0
pedant,a person who is preoccupied with rules and learning,1363.14,1.0
bilk,"cheat somebody out of what is due, especially money",17828.01,3.0
evict,expel or eject without recourse to legal process,3005.4,3.0
impetuous,characterized by undue haste and lack of thought,633.22,1.0
ensign,a person who holds a commissioned rank in the U.S. Navy,1119.51,2.0
exuberant,joyously unrestrained,1959.14,2.0
knell,the sound of a bell rung slowly to announce a death,3791.67,2.0
boor,a crude uncouth ill-bred person lacking refinement,2850.4,2.0
digress,wander from a direct or straight course,2146.45,2.0
veracity,unwillingness to tell lies,1890.88,2.0
uphold,"stand up for; stick up for; of causes, principles, or ideals",563.21,1.0
notion,a general inclusive concept,132.58,1.0
florid,elaborately or excessively ornamented,2384.89,3.0
fluffy,like down or as soft as down,3474.2,3.0
dilettante,an amateur engaging in an activity without serious intention,6015.92,2.0
august,profoundly honored,1688.51,1.0
aerie,"the lofty nest of a bird of prey, such as a hawk or eagle",56824.61,4.0
rustic,characteristic of rural life,716.19,1.0
unconscionable,greatly exceeding bounds of reason or moderation,8559.52,3.0
vigilance,the process of paying close and continuous attention,1037.51,2.0
inopportune,not suitable for a purpose,6534.62,4.0
deter,turn away from as by fear or persuasion,783.84,1.0
stiff,incapable of or resistant to bending,158.1,1.0
banter,light teasing repartee,1652.9,2.0
lapidary,relating to precious stones or the art of working with them,14719.94,3.0
allegation,a formal accusation against somebody,808.27,1.0
pine,a coniferous tree,180.03,1.0
exacerbate,make worse,4905.28,3.0
propitiate,make peace with,2029.37,1.0
leaven,a substance used to produce fermentation in dough,1841.73,2.0
dyspeptic,suffering from indigestion,3473.18,2.0
pastiche,a work of art that imitates the style of some previous work,21848.15,4.0
guileless,innocent and free of deceit,3801.42,3.0
pusillanimous,"lacking in courage, strength, and resolution",6028.19,2.0
perfidious,tending to betray,3367.37,3.0
pulchritude,"physical beauty, especially of a woman",68717.92,4.0
perfunctory,hasty and without attention to detail; not thorough,2985.67,2.0
malinger,"avoid responsibilities and duties, often by faking illness",21888.61,4.0
castigate,inflict severe punishment on,6797.61,4.0
aspiration,a cherished desire,577.86,1.0
chaos,formless state of matter before the creation of the cosmos,698.18,1.0
ebullient,joyously unrestrained,7870.05,4.0
slake,"satisfy, as thirst",4944.25,2.0
suborn,incite to commit a crime or an evil deed,12211.03,4.0
calisthenics,light exercises designed to promote general fitness,23592.44,4.0
subside,wear off or die down,551.97,1.0
dilatory,wasting time,5934.39,2.0
opaque,not transmitting or reflecting light or radiant energy,2092.91,2.0
machination,a crafty and involved plot to achieve your ends,3026.94,2.0
conjecture,believe especially on uncertain or tentative grounds,399.33,1.0
specious,plausible but false,2838.09,3.0
opprobrium,a state of extreme dishonor,4709.89,2.0
harbor,a sheltered port where ships can take on or discharge cargo,242.93,1.0
gravel,rock fragments and pebbles,549.03,1.0
epistle,"a specially long, formal letter",1524.7,2.0
approbation,official acceptance or agreement,715.29,1.0
euphony,any pleasing and harmonious sounds,9366.54,3.0
obvious,easily perceived by the senses or grasped by the mind,107.14,1.0
engender,call forth,1631.25,1.0
sully,make dirty or spotty,2357.32,1.0
grill,a framework of metal bars used as a partition or a grate,1758.78,2.0
recourse,act of turning to for assistance,889.6,2.0
obsidian,glass formed by the cooling of lava without crystallization,15370.71,4.0
inimical,tending to obstruct or cause harm,4274.07,2.0
oculist,a person skilled in testing for defects of vision,12442.38,4.0
toady,a person who tries to please someone to gain an advantage,9227.63,3.0
panegyric,formally expressing praise,3168.87,3.0
ingenuous,lacking in sophistication or worldliness,1314.69,2.0
torpor,a state of motor and mental inactivity,3656.83,2.0
tangible,"perceptible by the senses, especially the sense of touch",945.03,2.0
premise,a statement that is held to be true,548.95,1.0
invigorate,give life or energy to,1878.27,2.0
platitude,a trite or obvious remark,3370.24,3.0
syncopation,a musical rhythm accenting a normally weak beat,37285.89,4.0
diatribe,thunderous verbal attack,8578.15,3.0
piquant,having an agreeably pungent taste,2432.96,3.0
onomatopoeia,using words that imitate the sound they denote,72512.11,4.0
demur,politely refuse or take exception to,1921.9,2.0
coalesce,fuse or cause to come together,5284.55,2.0
withhold,hold back; refuse to hand over or share,541.26,1.0
nausea,the state that precedes vomiting,1516.3,2.0
inter,place in a grave or tomb,665.87,1.0
moribund,being on the point of death,7944.09,3.0
dirge,a song or hymn of mourning as a memorial to a dead person,3476.25,3.0
tamp,press down tightly,1825.25,2.0
censor,a person authorized to suppress unacceptable material,647.54,1.0
ornate,marked by complexity and richness of detail,3016.9,3.0
discreet,marked by prudence or modesty and wise self-restraint,530.94,1.0
overwrought,deeply agitated especially from emotion,4981.75,3.0
repast,the food served and eaten at one time,1251.19,1.0
pan,shallow container made of metal,669.97,1.0
tangential,of superficial relevance if any,12946.58,4.0
tapestry,a wall hanging of heavy fabric with pictorial designs,1023.79,2.0
ambiguous,having more than one possible meaning,1082.56,2.0
vituperate,spread negative information about,5506.04,2.0
ostentatious,intended to attract notice and impress others,1511.46,2.0
fathom,a linear unit of measurement for water depth,450.92,1.0
shun,avoid and stay away from deliberately,687.41,1.0
gavel,a small mallet used by a presiding officer or a judge,8497.99,4.0
apparition,a ghostly appearing figure,864.1,1.0
impecunious,not having enough money to pay for necessities,10120.27,3.0
sobriquet,a familiar name for a person,8491.88,3.0
docile,easily handled or managed,1452.29,2.0
ostracism,the act of excluding someone from society by general consent,10059.99,4.0
truce,a state of peace agreed to between opponents,748.58,1.0
sporadic,recurring in scattered or unpredictable instances,3373.13,3.0
board,a stout length of sawn timber,37.28,1.0
dissent,a difference of opinion,428.68,1.0
quaff,swallow hurriedly or greedily or in one draught,4019.81,3.0
disabuse,free somebody from an erroneous belief,10658.63,3.0
deride,treat or speak of with contempt,650.56,1.0
coterie,an exclusive circle of people with a common purpose,4434.35,2.0
hyperbole,extravagant exaggeration,5166.78,2.0
extol,"praise, glorify, or honor",1676.31,2.0
irascible,quickly aroused to anger,4097.81,2.0
enervate,"weaken physically, mentally, or morally",3523.89,3.0
crescendo,a gradual increase in loudness,5922.5,2.0
ponderous,having great mass and weight and unwieldiness,1169.49,2.0
flamboyant,tending to attract attention; marked by ostentatious display,3398.33,3.0
inflammable,easily ignited,4161.26,3.0
prodigal,recklessly wasteful,1115.08,1.0
garrulous,full of trivial conversation,3222.4,3.0
obligatory,required by compulsion or convention,3295.12,3.0
contumacious,willfully obstinate; stubbornly disobedient,16462.44,3.0
fetid,offensively malodorous,6251.3,2.0
recalcitrant,stubbornly resistant to authority or control,6495.13,4.0
holster,a sheath for carrying a handgun,3392.48,3.0
politic,"marked by artful prudence, expedience, and shrewdness",1585.57,1.0
lustrous,reflecting light,2461.31,3.0
tepid,moderately warm,3765.11,3.0
entrenched,dug in,2724.34,3.0
condone,"excuse, overlook, or make allowances for",3330.38,2.0
divulge,make known to the public information previously kept secret,2227.28,3.0
invective,abusive language used to express blame or censure,2300.48,1.0
conciliatory,making or willing to make concessions,2336.83,3.0
abeyance,temporary cessation or suspension,4862.91,3.0
multifarious,having many aspects,6417.56,2.0
imbibe,take in liquids,1915.37,2.0
dazzle,"cause to lose clear vision, especially from intense light",363.08,1.0
parley,a negotiation between enemies,1692.61,1.0
distend,cause to expand as if by internal pressure,2543.33,3.0
encomium,a formal expression of praise,4788.08,3.0
quintessential,representing the perfect example of a class or quality,10765.4,4.0
outmoded,no longer in fashion,13971.82,4.0
inquest,an investigation into the cause of an unexpected death,1905.5,1.0
meddle,intrude in other people's affairs or business,710.49,1.0
cessation,a stopping,1491.27,2.0
prevaricate,be deliberately ambiguous or unclear,6459.64,4.0
misnomer,an incorrect or unsuitable name,11119.82,4.0
pedestrian,a person who travels by foot,1502.06,2.0
debacle,a sudden and complete disaster,5420.22,3.0
neophyte,a participant with no experience with an activity,5964.33,2.0
requite,make repayment for or return something,1807.13,1.0
meticulous,marked by precise accordance with details,3383.74,3.0
viable,capable of life or normal growth and development,3048.79,3.0
mar,cause to become imperfect,767.09,1.0
fledgling,young bird that has just become capable of flying,4439.34,3.0
eschew,avoid and stay away from deliberately,3772.32,3.0
breach,"an opening, especially a gap in a dike or fortification",376.11,1.0
sketchy,giving only major points; lacking completeness,6929.08,4.0
auspicious,indicating favorable circumstances and good luck,1544.19,2.0
inadvertent,happening by chance or unexpectedly or unintentionally,2010.75,2.0
insipid,lacking interest or significance or impact,2558.19,2.0
exponent,notation of how many times to multiply a quantity by itself,2242.9,1.0
orotund,overly formal and pompous in style,72959.71,4.0
euphemism,an inoffensive expression substituted for an offensive one,5937.37,4.0
susceptible,yielding readily to or capable of,684.75,1.0
confidential,given in secret,487.69,1.0
gradation,relative position in a ranked series,2157.02,1.0
steep,having a sharp inclination,197.17,1.0
ignoble,dishonorable in character or purpose,1654.51,1.0
abyss,a bottomless gulf or pit,814.5,1.0
tacit,implied by or inferred from actions or statements,1418.35,2.0
sordid,foul and run-down and repulsive,1060.55,2.0
conflagration,a very intense and uncontrolled fire,1570.84,2.0
sate,fill to contentment,1490.7,2.0
incipient,only partly in existence; imperfectly formed,2890.1,3.0
abeyance,temporary cessation or suspension,4862.91,2.0
limpid,clear and bright,2896.47,2.0
penury,a state of extreme poverty or destitution,3397.35,3.0
vernal,suggestive of youth; vigorous and fresh,4534.68,2.0
levee,an embankment built to prevent a river from overflowing,2179.27,2.0
perplex,be a mystery or bewildering to,275.45,1.0
manifest,clearly revealed to the mind or the senses or judgment,126.01,1.0
palatial,relating to or being a large and stately residence,5339.44,2.0
taciturn,habitually reserved and uncommunicative,2407.21,1.0
grudging,petty or reluctant in giving or spending,1935.1,2.0
mediocre,moderate to inferior in quality,1424.33,2.0
presumption,a premise that is taken for granted,650.66,1.0
innocuous,not injurious to physical or mental health,5337.03,3.0
insinuate,suggest in an indirect or covert way; give to understand,733.16,1.0
catalyst,substance that initiates or accelerates a chemical reaction,6417.56,4.0
phalanx,any closely ranked crowd of people,2769.64,2.0
posit,take as a given; assume as a postulate or axiom,12223.66,4.0
embellish,"make more attractive, as by adding ornament or color",1259.18,2.0
exonerate,pronounce not guilty of criminal charges,4359.15,3.0
tout,advertise in strongly positive terms,1089.53,2.0
exigent,demanding immediate attention,1652.43,1.0
vagrant,a wanderer with no established residence or means of support,1773.01,2.0
prescience,the power to foresee the future,7548.45,4.0
wardrobe,a piece of furniture that provides storage space for clothes,976.92,2.0
droll,comical in an odd or whimsical manner,1373.1,1.0
vulnerable,capable of being wounded or hurt,685.27,1.0
indict,accuse formally of a crime,581.6,1.0
rescind,cancel officially,4513.91,3.0
averse,strongly opposed,1513.19,2.0
irate,feeling or showing extreme anger,4040.41,3.0
puerile,displaying or suggesting a lack of maturity,3901.76,2.0
clot,a lump of material formed from the content of a liquid,2546.62,3.0
licentious,lacking moral discipline,1693.34,1.0
inculcate,teach and impress by frequent repetitions or admonitions,1718.17,1.0
ingratiate,gain favor with somebody by deliberate efforts,3213.64,2.0
intricate,having many complexly arranged elements; elaborate,709.38,1.0
contend,compete for something,175.36,1.0
mace,a ceremonial staff carried as a symbol of office,5755.29,4.0
annul,cancel officially,2092.54,2.0
lachrymose,showing sorrow,23221.65,4.0
defer,yield to another's wish or opinion,356.24,1.0
mendacious,given to lying,15552.72,4.0
glib,artfully persuasive in speech,2543.88,3.0
blandishment,flattery intended to persuade,5811.87,4.0
din,"a loud, harsh, or strident noise",842.53,1.0
desperate,a person who is frightened and in need of help,113.72,1.0
precarious,not secure; beset with difficulties,1156.7,2.0
quarantine,isolation to prevent the spread of infectious disease,2944.79,3.0
exemplify,be characteristic of,1467.96,2.0
lumber,the wood of trees prepared for use as building material,602.31,1.0
conifer,a type of tree or shrub bearing cones,9030.27,4.0
embrace,"squeeze tightly in your arms, usually with fondness",142.01,1.0
disburse,"expend, as from a fund",3393.45,3.0
gregarious,temperamentally seeking and enjoying the company of others,4693.06,2.0
overweening,presumptuously arrogant,8449.4,4.0
convoluted,highly complex or intricate,14206.9,3.0
mosaic,design made of small pieces of colored stone or glass,2523.26,3.0
dither,be undecided or uncertain,16371.24,3.0
crockery,ceramic dishes used for serving food,3801.42,3.0
deference,courteous regard for people's feelings,698.55,1.0
prodigious,"great in size, force, extent, or degree",652.09,1.0
sanguine,confidently optimistic and cheerful,1157.83,1.0
ramification,"a consequence, especially one that causes complications",4023.91,3.0
coy,affectedly shy especially in a playful or provocative way,2112.72,2.0
missive,a written message addressed to a person or organization,2866.98,2.0
skiff,a small boat propelled by oars or by sails or by a motor,1888.16,2.0
chicanery,the use of tricks to deceive someone,10155.05,4.0
fortuitous,lucky; occurring by happy chance,4825.21,3.0
wile,the use of tricks to deceive someone,883.5,2.0
precious,of high worth or cost,142.16,1.0
concoct,make something by mixing,1793.16,2.0
larceny,the act of taking something from someone unlawfully,5460.27,2.0
supplicate,"ask for humbly or earnestly, as in prayer",1016.4,2.0
wanton,a lewd or immoral person,684.24,1.0
plethora,extreme excess,6990.54,3.0
indigenous,originating where it is found,1455.68,2.0
plethora,extreme excess,6990.54,4.0
vehemence,intensity or forcefulness of expression,1301.83,2.0
lasso,a long noosed rope used to catch animals,5467.84,4.0
ascribe,attribute or credit to,474.76,1.0
orison,reverent petition to a deity,11182.94,4.0
itinerant,traveling from place to place to work,3680.74,2.0
avert,turn away or aside,338.63,1.0
audacious,disposed to venture or take risks,1243.31,2.0
turgid,ostentatiously lofty in style,9866.87,3.0
astute,marked by practical hardheaded intelligence,1835.73,2.0
grumble,make complaining remarks or noises under one's breath,450.73,1.0
salient,"conspicuous, prominent, or important",2023.82,1.0
cabal,a clique that seeks power usually through intrigue,3013.82,2.0
gratis,costing nothing,3906.92,2.0
pejorative,expressing disapproval,38500.38,4.0
demote,assign to a lower position; reduce in rank,10442.09,4.0
recant,formally reject or disavow a formerly held belief,3779.55,2.0
